"Posição","Nome","Localidade","1991","2000","2010","Unidade","Multiplicador"
"1","IDH","Poço das Antas","0.489","0.645","0.744","",""
"1","IDH","Pontão","0.373","0.585","0.725","",""
"1","IDH","Ponte Preta","0.336","0.560","0.725","",""
"1","IDH","Portão","0.453","0.618","0.713","",""
"1","IDH","Porto Alegre","0.660","0.744","0.805","",""
"1","IDH","Porto Lucena","0.437","0.578","0.693","",""
"1","IDH","Porto Mauá","0.474","0.593","0.698","",""
"1","IDH","Porto Vera Cruz","0.406","0.544","0.690","",""
"1","IDH","Porto Xavier","0.490","0.616","0.723","",""
"1","IDH","Pouso Novo","0.497","0.625","0.715","",""
"1","IDH","Presidente Lucena","0.455","0.621","0.757","",""
"1","IDH","Progresso","0.405","0.535","0.683","",""
"1","IDH","Protásio Alves","0.423","0.636","0.733","",""
"1","IDH","Putinga","0.444","0.577","0.715","",""
"1","IDH","Quaraí","0.542","0.630","0.704","",""
"1","IDH","Quatro Irmãos","0.330","0.504","0.689","",""
"1","IDH","Quevedos","0.343","0.491","0.665","",""
"1","IDH","Quinze de Novembro","0.477","0.657","0.756","",""
"1","IDH","Redentora","0.350","0.464","0.631","",""
"1","IDH","Relvado","0.406","0.588","0.731","",""
"1","IDH","Restinga Sêca","0.490","0.586","0.683","",""
"1","IDH","Rio dos Índios","0.327","0.512","0.656","",""
"1","IDH","Rio Grande","0.527","0.652","0.744","",""
"1","IDH","Rio Pardo","0.482","0.609","0.693","",""
"1","IDH","Riozinho","0.420","0.568","0.661","",""
"1","IDH","Roca Sales","0.510","0.627","0.729","",""
"1","IDH","Rodeio Bonito","0.496","0.642","0.732","",""
"1","IDH","Rolador","0.366","0.583","0.689","",""
"1","IDH","Rolante","0.444","0.595","0.688","",""
"1","IDH","Ronda Alta","0.457","0.619","0.724","",""
"1","IDH","Rondinha","0.494","0.650","0.764","",""
"1","IDH","Roque Gonzales","0.448","0.567","0.688","",""
"1","IDH","Rosário do Sul","0.496","0.616","0.699","",""
"1","IDH","Sagrada Família","0.327","0.541","0.678","",""
"1","IDH","Saldanha Marinho","0.508","0.689","0.762","",""
"1","IDH","Salto do Jacuí","0.459","0.589","0.687","",""
"1","IDH","Salvador das Missões","0.518","0.655","0.753","",""
"1","IDH","Salvador do Sul","0.524","0.665","0.740","",""
"1","IDH","Sananduva","0.513","0.660","0.747","",""
"1","IDH","Santa Bárbara do Sul","0.541","0.653","0.725","",""
"1","IDH","Santa Cecília do Sul","0.372","0.529","0.725","",""
"1","IDH","Santa Clara do Sul","0.493","0.612","0.740","",""
"1","IDH","Santa Cruz do Sul","0.561","0.682","0.773","",""
"1","IDH","Santa Maria","0.609","0.715","0.784","",""
"1","IDH","Santa Maria do Herval","0.401","0.598","0.676","",""
"1","IDH","Santa Margarida do Sul","0.426","0.526","0.663","",""
"1","IDH","Santana da Boa Vista","0.388","0.553","0.633","",""
"1","IDH","Sant'ana do Livramento","0.557","0.663","0.727","",""
"1","IDH","Santa Rosa","0.555","0.685","0.769","",""
"1","IDH","Santa Tereza","0.461","0.611","0.746","",""
"1","IDH","Santa Vitória do Palmar","0.501","0.626","0.712","",""
"1","IDH","Santiago","0.559","0.696","0.766","",""
"1","IDH","Santo Ângelo","0.568","0.685","0.772","",""
"1","IDH","Santo Antônio do Palma","0.453","0.667","0.764","",""
"1","IDH","Santo Antônio da Patrulha","0.508","0.620","0.717","",""
"1","IDH","Santo Antônio das Missões","0.435","0.582","0.686","",""
"1","IDH","Santo Antônio do Planalto","0.510","0.693","0.759","",""
