"Posição","Nome","Localidade","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","Unidade","Multiplicador"
"1.1","Série revisada","Dilermando de Aguiar",,,,,,,,,,,,"53182","59653","58731","89982","91835.78","105122.89","123551.41","110634.18","143913.05","144126.65","R$",1000
"1.1","Série revisada","Dom Feliciano",,,,,,,,,,,,"142957","140473","157566","183586","199480.62","224648.60","230131.71","253149.09","237809.27","292675.31","R$",1000
"1.1","Série revisada","Dois Irmãos",,,,,,,,,,,,"947058","1033627","1208096","1323858","1495877.08","1539788.08","1677320.43","1806677.89","2008982.06","2089234.45","R$",1000
"1.1","Série revisada","Dom Pedro de Alcântara",,,,,,,,,,,,"42203","32662","33177","46071","46984.67","46787.45","52681.20","53699.25","54618.26","58980.64","R$",1000
"1.1","Série revisada","Derrubadas",,,,,,,,,,,,"44273","50821","47615","72139","71078.95","70802.63","77764.32","77266.44","82123.97","96426.95","R$",1000
"1.1","Série revisada","Dois Irmãos das Missões",,,,,,,,,,,,"56592","68136","40970","89843","83888.89","93688.35","111608.73","106260.20","115159.92","115139.07","R$",1000
"1.1","Série revisada","Crissiumal",,,,,,,,,,,,"191328","194107","202795","249823","268286.47","292273.36","320187.82","332669.72","345766.43","377104.78","R$",1000
"1.1","Série revisada","Cruzaltense",,,,,,,,,,,,"35045","39786","39202","60104","53416.79","62418.50","74164.55","71906.71","85420.85","88539.42","R$",1000
"1.1","Série revisada","Dezesseis de Novembro",,,,,,,,,,,,"23041","24052","23101","29554","32122.09","34313.45","39384.67","37352.19","39479.24","43125.51","R$",1000
"1.1","Série revisada","Dois Lajeados",,,,,,,,,,,,"56792","60961","59456","72382","78354.75","84876.80","88811.47","92504.10","96498.06","108556.04","R$",1000
"1.1","Série revisada","Dom Pedrito",,,,,,,,,,,,"622455","642766","775885","983225","1035039.13","1180775.20","1235610.95","1343427.70","1326156.10","1345518.43","R$",1000
"1.1","Série revisada","Eldorado do Sul",,,,,,,,,,,,"682532","747105","789144","960838","1197276.10","1278482.32","1477421.50","1585866.26","1608901.81","2179267.63","R$",1000
"1.1","Série revisada","Doutor Ricardo",,,,,,,,,,,,"30806","34691","36658","46488","52786.92","56581.41","52521.76","50565.86","52272.43","54932.71","R$",1000
"1.1","Série revisada","Engenho Velho",,,,,,,,,,,,"28613","28280","26105","40637","41669.01","49960.69","53130.26","49236.90","49629.67","54558.70","R$",1000
"1.1","Série revisada","Doutor Maurício Cardoso",,,,,,,,,,,,"87693","108549","114721","146178","183611.74","167406.33","186618.02","176654.48","196212.76","189360.67","R$",1000
"1.1","Série revisada","Encruzilhada do Sul",,,,,,,,,,,,"224790","255817","265587","328497","396547.73","448594.13","572998.58","525828.06","535777.25","604809.22","R$",1000
"1.1","Série revisada","Entre-Ijuís",,,,,,,,,,,,"140455","174499","121261","262859","261723.60","281460.09","360662.61","347281.61","405709.70","420708.85","R$",1000
"1.1","Série revisada","Ernestina",,,,,,,,,,,,"68798","79978","75186","107391","111312.93","135461.04","153709.90","131689.44","144641.64","145623.09","R$",1000
